x1,x2,x3,y
2,9,1,-7.13
8,2,4,31.39
44,12,8,121.48
45,25,5,96.03
1,43,28,109.07
48,43,12,110.06
40,27,4,58.79
36,11,4,74.21
45,25,38,260.34
30,30,22,147.44
12,3,26,173.25
41,30,32,213.17
46,46,24,168.45
43,5,9,124.23
17,17,12,72.94
6,30,1,-5.18
10,18,6,35.53
34,20,10,95.93
7,35,8,8.20
19,46,40,190.77
22,1,37,224.09
17,41,49,250.55
34,28,33,214.47
10,46,4,-16.22
41,4,39,284.67
4,42,14,30.28
35,1,14,140.33
10,20,45,237.03
27,10,2,43.75
24,34,43,230.60
46,8,31,227.70
20,30,30,140.59
12,41,10,42.87
2,26,39,173.28
10,29,43,197.78
45,12,22,172.13
33,43,31,173.99
10,3,32,190.42
38,25,11,110.02
31,45,18,103.27
14,32,34,159.28
23,42,37,190.06
36,25,10,81.53
42,21,48,316.45
21,9,4,58.03
30,4,44,287.94
22,34,34,174.36
4,25,40,191.55
6,45,47,208.88
3,9,3,-3.33
1,24,28,119.49
15,43,31,145.15
37,43,47,260.25
6,7,5,26.40
24,30,28,162.36
20,12,48,267.62
9,49,41,163.95
26,35,45,247.91
35,13,44,279.28
48,16,47,317.49
10,25,14,65.96
33,39,32,191.49
44,43,25,167.14
13,5,35,187.37
47,48,10,88.58
39,38,35,226.06
9,5,43,207.82
26,30,6,57.41
14,1,30,162.58
12,43,11,19.91
24,25,41,217.93
14,16,22,119.42
20,38,17,94.31
10,4,32,159.02
27,23,22,157.74
1,21,44,212.64
19,33,45,228.67
38,4,27,204.10
46,19,30,213.46
11,8,27,154.88
28,6,8,90.69
30,11,5,88.12
25,35,6,38.14
1,34,47,208.48
36,17,37,239.64
31,6,27,182.53
8,49,27,121.02
31,15,26,179.80
2,29,30,131.20
41,37,46,264.31
32,45,27,146.77
20,36,43,219.84
10,29,11,40.16
15,31,32,165.02
37,30,26,178.38
20,48,36,164.18
29,39,49,265.93
2,33,35,146.04
24,41,46,235.36
30,20,12,88.51
16,15,24,128.64
39,11,34,239.10
2,35,37,164.14
3,4,11,47.30
27,49,20,117.17
11,13,2,20.83
11,30,21,84.30
3,33,16,56.23
3,2,10,62.86
44,32,30,208.64
23,2,27,202.19
41,44,23,156.09
17,2,10,90.93
17,3,10,81.11
42,44,43,264.80
16,8,33,165.04
46,31,19,147.42
23,21,36,201.36
28,45,22,126.04
39,19,28,200.88
4,7,31,166.85
43,47,46,272.57
24,32,47,253.07
28,31,23,138.55
5,11,38,190.64
13,36,49,243.30
21,19,13,95.55
1,47,38,153.79
28,47,3,21.60
49,47,11,99.05
11,31,24,106.29
26,8,25,172.49
16,13,37,220.11
5,32,4,0.39
36,17,32,219.85
6,48,43,162.41
40,45,6,91.80
16,42,12,38.96
11,29,26,141.18
46,36,13,115.44
44,28,45,294.58
15,28,27,145.15
13,15,47,246.64
45,24,31,219.34
46,9,49,318.59
13,37,43,203.46
48,4,47,338.01
44,34,45,282.72
12,13,6,32.17
47,26,41,284.58
44,35,1,45.96
39,33,15,122.10
45,46,37,220.09
21,21,32,173.17
38,41,12,105.80
31,16,25,166.37
26,30,33,171.85
7,27,39,176.61
34,47,6,58.57
16,4,7,55.71
47,5,18,191.15
16,18,47,259.08
45,22,49,313.73
19,35,24,134.74
9,23,37,198.63
41,9,45,278.16
5,1,49,265.57
29,42,8,62.09
26,40,40,208.77
2,11,39,194.64
9,27,16,74.97
31,30,5,51.24
11,6,22,140.88
42,43,18,132.40
10,41,4,10.88
29,45,48,250.54
34,3,43,263.64
4,3,29,152.45
34,27,36,218.65
35,20,48,277.39
39,37,44,244.08
24,19,38,225.16
9,30,47,235.70
22,23,5,59.97
17,46,19,88.34
42,23,45,286.04
36,7,17,151.89
41,25,21,162.45
30,28,26,169.95
11,18,8,39.07
10,36,40,171.38
11,1,29,163.81
49,49,24,170.97
28,18,11,90.45
21,13,44,249.26
41,43,9,106.01
4,4,49,257.84
38,11,37,236.13
35,36,10,90.54
4,37,19,44.23
23,30,49,267.19
24,20,17,117.77
5,13,42,207.26
23,5,42,241.30
5,48,37,137.16
16,29,35,182.13
44,16,37,250.86
40,18,36,250.37
44,19,4,82.76
33,28,43,249.37
47,22,30,229.59
39,45,4,52.66
24,22,31,179.34
32,19,35,222.70
32,1,24,186.75
17,38,38,185.16
42,31,12,115.26
15,25,28,143.84
21,44,18,92.12
7,22,8,34.88
6,7,17,95.04
28,16,12,108.04
35,44,49,260.69
12,1,33,174.42
36,19,41,255.33
11,22,37,183.29
13,38,47,227.62
45,8,11,124.80
21,1,22,152.93
31,13,29,198.35
4,39,31,107.65
37,9,2,79.35
36,19,33,231.98
12,34,38,181.25
7,10,32,155.09
41,48,20,128.23
37,20,4,73.25
25,11,10,83.78
25,42,42,185.96
1,31,28,125.63
27,39,37,195.33
41,41,2,49.21
2,38,11,30.25
45,18,26,204.35
13,38,33,148.11
39,46,31,186.07
25,16,22,149.35
35,15,24,180.51
37,38,3,49.08
37,1,10,130.95
1,9,14,70.85
18,16,48,255.12
5,32,27,102.94
47,4,29,238.28
24,45,1,13.79
41,14,12,123.40
40,37,14,108.64
45,49,23,161.36
2,19,10,36.57
34,39,32,202.59
25,6,9,94.15
31,5,20,180.84
43,12,32,239.29
46,31,19,147.04
49,4,31,247.02
19,3,24,154.05
5,6,23,102.20
34,28,3,61.77
8,44,36,152.61
42,11,9,117.77
3,15,43,200.47
27,4,5,63.94
20,3,27,169.83
24,22,33,182.25
39,40,40,238.11
19,25,17,88.94
25,1,36,214.84
35,1,30,219.95
15,36,5,20.94
25,35,45,245.43
23,18,43,243.56
35,3,4,101.66
21,38,43,212.64
30,20,21,156.10
11,11,23,116.07
32,7,48,290.18
24,15,21,133.91
4,41,20,64.53
48,1,33,275.28
19,8,48,263.51
48,46,24,157.31
4,9,37,191.55
2,18,15,60.76
23,35,2,5.42
39,20,35,236.46
44,25,43,287.42
46,35,41,258.15
26,40,29,172.60
21,47,1,15.45
43,9,19,165.08
13,23,23,126.65
41,33,19,123.02
27,45,7,45.70
29,10,15,115.42
25,35,22,134.68
44,44,20,135.25
16,38,44,224.28
28,2,5,70.97
15,25,45,225.72
14,11,4,29.45
6,24,24,110.20
7,44,12,16.27
48,43,39,254.47
43,4,42,285.26
5,2,27,165.42
16,45,5,9.54
36,43,28,161.36
32,17,8,91.81
2,35,7,-4.32
13,37,40,194.93
41,5,49,317.51
49,25,42,287.88
17,5,21,134.56
39,8,20,175.46
46,15,16,150.17
29,9,31,197.41
43,21,49,324.39
19,13,28,178.82
4,28,9,34.21
28,17,10,83.27
49,24,10,136.75
37,47,19,118.71
43,37,41,252.54
41,33,36,239.58
26,14,32,196.89
26,46,7,40.61
17,4,11,81.78
26,35,44,230.34
7,10,34,166.95
47,15,18,165.46
15,8,4,43.52
4,45,27,94.96
26,42,33,163.21
45,3,47,320.51
7,9,28,142.75
20,4,15,111.70
28,21,19,134.52
29,40,35,195.94
28,2,39,240.72
14,11,43,223.72
47,14,5,100.07
3,40,10,8.48
39,18,49,289.12
21,17,34,190.31
39,23,42,250.69
4,44,49,196.37
35,9,49,293.60
37,14,26,179.47
17,32,28,130.68
37,26,44,258.89
29,23,27,167.40
21,36,15,89.15
21,35,26,123.53
3,2,49,259.60
45,32,30,213.25
11,3,29,169.33
49,16,3,94.46
31,38,11,80.92
5,16,45,224.63
42,46,42,254.27
7,35,48,215.60
42,11,35,255.37
14,39,24,121.03
40,11,46,308.71
4,34,30,131.04
16,10,46,245.95
43,30,42,266.05
5,42,16,49.47
32,7,4,72.37
12,42,44,204.19
11,9,40,214.69
16,5,30,176.50
3,8,7,31.50
5,45,4,-15.35
7,31,29,128.34
5,39,39,162.33
38,14,48,297.76
49,7,13,155.49
8,41,37,148.76
46,43,24,150.43
11,34,18,75.83
21,13,33,182.21
35,14,28,212.45
13,35,29,143.23
30,38,35,209.48
48,20,43,298.33
29,1,23,168.79
1,17,34,160.01
17,7,40,232.20
27,27,20,113.22
28,5,20,158.85
11,23,10,40.04
8,5,25,124.22
41,18,12,131.41
16,3,22,133.27
17,28,26,126.39
34,5,47,309.88
46,17,47,292.34
47,44,22,152.30
46,26,16,157.24
42,1,48,349.72
19,15,20,123.64
16,2,14,109.13
12,13,1,6.03
8,17,17,104.75
31,8,23,163.10
6,38,43,160.84
36,46,26,157.10
44,21,7,103.43
26,27,28,157.16
49,27,38,263.58
46,4,47,336.13
23,22,1,15.51
33,39,7,67.00
28,35,37,196.15
33,4,39,271.86
28,8,32,213.71
37,11,25,182.87
5,17,8,35.76
9,45,46,199.11
43,18,23,189.49
20,39,35,175.76
16,43,7,37.08
28,28,22,164.63
49,14,25,212.43
5,40,28,118.73
8,8,30,161.77
32,21,22,147.93
10,37,3,2.83
2,34,45,204.77
31,41,17,114.47
28,48,17,94.57
10,9,26,139.45
20,4,37,239.30
24,37,30,170.29
35,46,24,157.83
31,1,37,239.48
19,10,33,207.23
43,18,12,113.41
39,14,33,233.78
40,9,5,96.29
13,6,31,176.62
22,21,49,263.89
29,22,8,85.31
24,46,11,62.38
46,7,44,306.95
35,3,34,257.66
43,47,37,234.42
17,6,24,149.83
39,39,47,273.89
20,37,24,103.13
9,30,6,11.59
42,19,47,295.19
17,30,28,135.89
5,6,33,167.91
23,32,29,177.21
23,26,42,235.14
11,24,40,195.65
15,45,3,-10.86
14,25,3,27.52
37,7,4,84.70
46,14,38,286.70
22,32,27,148.58
46,1,30,255.34
27,1,5,82.73
49,18,25,205.76
2,48,49,202.26
15,45,28,131.26
28,12,34,213.73
38,48,3,27.33
45,33,13,103.15
22,27,47,244.82
26,42,35,176.82
31,12,34,222.09
5,6,7,37.69
3,15,47,230.93
38,1,49,317.77
4,49,27,99.62
21,37,47,243.38
18,44,45,228.04
30,40,43,226.00
33,22,37,209.99
5,49,35,129.79
11,21,31,163.28
42,29,29,193.42
28,25,40,226.21
29,16,30,179.11
44,18,36,240.26
10,9,9,54.06
2,47,45,164.53
23,16,3,43.49
1,10,40,192.18
6,41,26,99.02
7,29,12,46.25
39,3,39,263.36
48,32,3,91.82
7,4,35,192.92
43,11,16,147.09
44,25,22,172.23
5,48,49,200.36
35,27,8,95.72
14,49,45,202.80
31,25,39,219.99
39,33,23,168.46
30,33,28,173.11
38,38,22,145.96
32,40,22,128.76
22,36,23,118.81
35,41,5,53.38
14,9,19,103.41
9,5,20,131.05
21,5,28,176.26
9,30,25,135.05
33,34,36,207.48
5,27,32,140.91
16,49,11,35.05
35,4,41,280.06
11,16,27,150.99
44,45,26,176.15
48,26,17,166.38
10,29,20,102.58
29,27,38,231.00
4,26,43,192.84
3,25,5,-5.44
43,46,6,53.74
2,26,28,103.41
36,6,12,122.84
26,2,44,257.11
25,33,11,70.92
29,10,45,287.93
21,29,39,206.44
8,31,2,-23.92
42,44,26,178.40
24,31,34,184.75
30,30,48,265.01
3,16,34,157.29
6,29,9,14.75
40,13,31,222.19
29,12,20,153.55
20,32,18,87.75
41,32,20,155.70
11,18,4,30.09
27,21,5,52.32
20,27,8,63.09
29,8,49,283.41
45,16,23,193.40
15,35,5,18.56
36,36,30,185.18
7,44,21,78.89
13,33,42,205.14
19,9,36,189.37
18,49,5,-0.97
13,46,48,209.19
23,20,34,193.64
27,14,20,147.80
3,28,37,173.59
34,42,37,217.72
14,26,47,238.75
42,2,40,272.30
1,12,49,246.81
22,18,33,192.06
43,3,6,100.62
33,1,27,193.80
26,2,3,77.18
4,6,7,51.34
22,35,18,89.64
31,35,37,233.08
35,5,18,164.12
27,26,8,73.68
39,35,35,206.31
12,9,45,261.52
38,11,41,269.47
11,37,9,22.48
39,25,47,283.66
7,32,21,85.95
20,6,37,209.10
39,25,41,264.14
15,24,21,109.83
48,37,40,241.68
5,16,8,25.26
37,39,34,193.65
33,24,33,198.92
45,32,1,57.50
42,48,32,197.87
45,16,43,286.05
39,16,28,200.13
39,23,15,122.51
25,39,33,182.87
13,46,34,147.23
25,30,4,59.90
42,35,31,195.06
37,40,45,258.59
30,38,43,250.00
17,18,7,39.54
34,19,48,279.49
25,28,31,165.84
31,29,49,276.70
45,28,2,69.07
16,18,12,76.14
44,16,28,223.18
8,27,39,172.44
34,41,45,248.15
29,22,44,259.99
23,29,4,11.89
20,8,26,156.73
6,19,40,188.44
15,31,13,57.95
23,11,11,92.84
1,18,39,189.97
1,13,30,133.61
21,22,42,251.96
18,25,7,38.97
1,21,18,70.39
30,45,19,112.17
21,18,27,143.75
3,26,23,99.58
30,4,40,256.21
40,43,11,93.56
20,17,26,163.38
42,1,49,328.46
19,20,2,39.07
45,36,39,235.62
29,34,6,51.46
25,22,49,285.55
39,25,18,142.19
24,46,8,29.79
3,25,45,194.44
29,35,32,175.43
13,11,11,56.88
47,48,10,100.95
31,10,38,213.85
21,29,15,79.79
23,8,6,54.09
36,3,49,300.27
43,29,13,116.30
18,41,37,167.65
26,31,6,55.78
12,41,11,30.11
27,29,17,104.48
22,12,37,225.38
24,49,49,246.73
20,7,37,219.26
10,36,28,123.74
19,20,48,246.76
38,6,23,188.02
42,13,12,152.19
31,4,29,200.37
33,38,47,252.97
3,33,34,127.82
10,46,43,169.78
46,23,19,160.57
2,26,31,127.60
12,41,26,123.45
18,24,9,56.20
19,4,6,70.61
49,3,41,306.23
40,22,11,124.99
47,41,18,139.91
22,3,6,80.70
27,45,24,133.51
37,27,37,221.37
36,45,46,246.75
34,44,17,113.20
12,47,35,148.85
9,48,24,67.89
21,15,39,224.57
36,18,48,296.61
45,31,7,95.98
49,49,41,269.26
40,12,23,179.02
39,47,45,240.64
37,19,32,221.34
28,18,2,49.55
25,19,44,257.01
43,43,26,179.47
37,48,22,137.50
38,43,48,267.49
5,38,25,96.34
22,11,46,261.42
4,13,44,210.44
40,14,21,172.57
48,37,21,162.80
26,24,29,173.49
39,8,5,84.10
8,49,38,154.14
24,42,13,59.53
42,36,39,232.42
33,33,35,221.77
2,12,12,41.83
34,22,28,190.86
38,47,19,107.16
27,17,7,70.96
30,11,24,179.43
7,23,45,223.85
24,26,17,99.59
21,46,35,178.94
14,1,28,163.28
42,45,38,219.33
45,12,16,145.92
7,21,38,162.92
29,28,2,44.69
32,18,45,278.76
28,35,23,152.71
34,40,44,244.49
36,34,22,144.72
36,45,17,106.41
14,27,36,184.12
4,5,43,219.57
14,3,9,54.95
10,30,36,174.77
8,6,38,205.71
19,30,48,250.54
30,12,36,225.59
3,9,1,-17.17
15,16,2,25.01
38,41,45,258.93
40,26,34,219.34
24,46,33,167.68
1,45,5,-20.24
17,39,16,75.72
8,24,11,45.83
43,16,46,295.30
30,27,2,31.91
41,7,4,82.62
42,20,49,312.41
21,34,45,232.63
44,35,4,77.07
5,33,22,91.37
26,30,15,95.71
19,30,34,197.16
30,6,9,93.98
17,3,3,46.68
2,45,4,-26.08
43,24,29,203.41
36,32,40,229.66
13,37,5,20.80
26,10,47,271.70
10,20,27,141.56
38,49,5,62.64
32,7,42,266.79
45,30,26,184.69
2,11,49,241.10
33,35,28,176.65
47,12,32,248.49
15,43,39,168.72
17,30,49,264.05
18,13,17,99.21
24,35,47,234.20
15,24,35,187.15
6,45,49,208.55
9,15,32,164.09
40,2,27,215.15
14,37,27,143.20
42,11,6,104.49
27,15,26,173.70
6,16,13,57.61
25,30,15,87.95
4,33,33,148.62
30,12,12,113.88
7,47,32,142.75
13,12,35,181.29
18,47,8,32.71
12,34,20,97.71
40,38,23,140.31
33,8,11,100.26
47,4,39,289.92
14,9,47,256.32
9,33,17,63.61
15,26,27,148.11
31,40,42,223.05
45,21,9,99.59
32,24,44,260.85
24,4,1,50.32
49,39,15,143.46
8,3,36,195.24
40,48,15,115.34
25,32,19,103.31
34,28,2,58.64
8,21,15,59.56
29,6,14,132.28
4,45,18,51.03
46,1,4,110.92
29,30,13,88.86
13,47,13,42.71
1,5,12,53.81
32,33,48,256.39
35,20,18,131.72
5,16,4,7.75
9,1,7,54.67
47,25,32,234.26
49,25,21,174.92
18,37,36,182.84
5,6,14,78.51
8,26,44,206.91
34,46,23,112.66
37,4,23,185.35
34,45,25,162.54
28,29,13,86.60
9,14,39,206.40
46,9,42,285.92
40,7,29,211.42
22,34,39,226.11
24,5,1,47.27
27,31,41,218.58
27,44,17,106.45
35,45,48,268.11
14,36,42,205.92
4,34,1,-39.95
20,37,22,109.58
37,30,8,84.70
28,25,4,49.40
39,1,24,186.86
26,11,1,42.68
9,37,14,65.41
20,11,28,165.10
7,46,41,179.42
23,5,35,231.13
32,21,24,161.58
40,13,7,100.61
30,30,29,186.76
39,12,26,207.84
18,39,35,178.83
26,45,17,79.85
25,11,42,254.32
19,21,42,229.45
7,8,16,88.52
33,43,14,110.44
12,16,11,53.42
11,6,29,179.25
21,27,46,228.20
20,32,37,181.86
31,29,39,228.59
9,47,24,87.84
9,37,2,-4.30
29,33,32,192.76
42,43,17,115.35
48,28,19,161.17
39,48,40,232.11
10,18,48,228.67
33,35,48,268.92
3,45,39,155.92
1,11,18,84.65
43,48,3,49.00
26,9,5,79.33
7,20,13,58.01
13,36,22,97.89
16,35,26,111.20
39,43,14,95.70
49,49,29,188.02
42,22,16,127.67
4,48,28,95.33
30,9,47,277.06
23,22,18,80.82
12,44,12,48.95
40,29,23,178.00
37,39,44,258.82
7,24,10,40.90
18,20,9,60.63
8,40,33,117.67
28,36,32,179.33
18,32,43,204.47
25,24,34,186.29
15,49,25,92.02
5,45,2,-24.14
16,48,17,95.51
47,5,18,174.15
39,17,39,269.70
7,13,7,40.55
13,12,42,239.79
47,27,5,103.96
21,12,46,241.61
21,38,36,195.09
15,16,22,129.48
26,33,22,117.48
16,34,41,207.10
11,18,35,164.72
1,18,6,15.96
24,1,33,223.58
29,7,45,278.39
5,35,23,77.93
27,16,20,135.02
17,36,11,56.48
3,22,49,237.18
28,45,17,98.01
30,5,38,241.34
12,31,26,117.46
31,24,43,257.82
38,47,15,120.35
32,33,9,83.02
47,40,25,172.57
1,10,11,59.41
15,17,42,222.03
45,45,37,244.95
49,17,2,90.25
45,46,35,229.94
38,21,28,191.90
3,1,5,28.55
15,22,28,162.41
11,41,13,33.26
4,4,9,51.40
49,2,27,225.29
23,1,21,152.90
34,30,22,149.22
24,8,9,108.18
42,19,49,313.53
26,25,47,249.87
39,32,45,266.95
11,48,48,221.17
12,8,18,102.91
34,31,44,264.18
44,15,9,131.73
49,27,26,210.75
16,2,7,53.94
34,12,20,150.29
6,16,45,221.87
34,42,11,63.20
31,35,4,54.16
22,31,43,225.37
3,32,27,107.26
13,1,18,118.54
13,18,42,212.13
33,31,23,165.12
32,15,27,191.55
15,6,13,75.87
39,12,38,256.55
38,37,31,188.65
11,26,3,19.06
1,5,44,224.50
26,41,18,114.79
6,17,10,40.28
48,34,35,234.25
45,22,13,135.39
11,33,12,52.51
35,37,35,201.53
26,49,32,170.15
31,43,16,98.27
25,22,42,213.38
1,9,17,53.89
16,24,18,88.04
47,10,11,154.28
6,34,7,22.12
26,26,38,219.35
23,2,27,174.94
44,5,46,311.89
48,37,30,214.60
1,24,27,109.23
26,37,49,272.95
11,26,34,181.09
3,20,16,77.03
3,15,27,120.08
33,39,2,35.66
36,8,31,218.40
14,33,14,67.93
22,37,24,112.89
21,15,21,144.54
33,6,41,256.10
44,8,29,226.71
4,18,17,75.59
24,36,39,204.92
14,28,47,246.64
46,22,4,93.69
6,10,10,61.05
24,35,12,80.62
33,49,23,125.18
10,27,14,76.78
4,14,20,105.85
44,4,8,114.18
32,8,29,198.50
3,6,45,221.80
31,27,49,283.22
11,9,3,32.68
14,11,49,285.24
9,16,44,213.76
36,49,35,194.98
47,40,23,181.36
8,49,44,198.91
43,41,28,177.50
41,19,17,156.15
24,9,46,265.37
30,22,41,249.43
44,7,28,227.56
42,36,17,150.38
15,28,40,186.77
45,37,35,220.22
36,16,41,266.80
12,47,23,81.40
20,9,28,165.51
38,9,9,121.42
27,10,5,60.56
2,3,42,205.18
30,38,31,176.96
32,24,24,145.20
21,45,21,123.65
22,47,49,230.76
2,17,21,72.54
28,27,13,92.77
32,13,47,281.24
39,43,44,262.92
3,13,19,98.49
15,30,7,20.01
5,36,42,173.24
27,21,37,207.80
37,22,41,279.18
42,25,1,62.94
9,41,3,7.70
43,28,10,108.79
7,24,5,15.39
43,12,43,274.68
13,8,15,92.76
6,3,31,174.34
39,3,40,276.33
30,35,31,184.20
46,32,30,213.50
38,31,19,164.48
32,3,49,298.16
10,35,35,167.65
6,37,44,202.06
13,19,2,24.23
1,43,27,111.58
7,39,15,44.47
43,46,46,263.94
43,36,45,276.90
2,49,14,31.41
7,32,47,204.43
10,3,29,161.40
42,20,20,159.07
34,32,18,140.66
20,27,18,118.93
15,12,6,48.50
40,27,17,148.21
37,20,6,64.64
7,29,36,160.72
2,47,2,-46.71
15,44,35,158.92
28,4,14,130.75
21,43,3,8.23
49,36,35,237.04
48,8,44,327.69
3,18,37,178.12
11,35,41,219.93
43,23,14,132.22
49,40,20,139.55
18,10,33,195.99
13,47,11,31.68
9,21,24,102.72
10,33,38,168.20
3,17,29,116.24
49,32,12,146.59
45,25,35,224.21
7,9,33,189.14
4,5,40,199.51
20,30,43,226.06
14,18,28,153.31
7,28,6,26.12
6,41,18,43.83
20,17,20,124.68
49,40,49,282.50
36,31,34,215.10
49,27,32,224.86
18,27,12,66.05
31,41,9,78.42
44,27,46,272.79
15,39,25,115.36
32,41,20,127.81
27,34,44,242.05
14,28,24,139.83
33,30,39,236.27
48,44,32,201.17
2,32,26,97.75
36,15,47,290.24
22,15,13,104.07
28,47,42,227.29
17,19,45,243.32
39,20,11,117.66
45,32,14,131.45
28,23,21,142.09
39,8,7,108.41
14,32,41,220.61
10,28,2,12.48
32,43,16,110.36
14,34,45,226.03
23,11,11,97.96
13,9,2,12.73
42,11,37,263.13
30,35,8,56.60
24,45,36,201.28
14,19,31,166.33
30,35,37,212.99
41,33,33,230.21
17,19,39,201.64
20,43,7,18.26
16,17,29,164.24
25,4,38,241.02
42,40,34,220.11
5,27,10,30.21
48,26,23,188.37
2,42,22,66.67
12,7,22,112.98
21,4,10,95.23
36,27,17,131.17
14,19,9,40.57
39,15,39,243.32
21,41,6,19.61
6,14,39,196.69
32,3,26,181.73
22,19,31,182.93
13,30,25,107.24
29,27,39,223.43
49,43,37,244.12
45,28,13,118.36
39,46,47,260.06
13,16,10,46.59
15,27,13,78.40
26,27,38,210.09
45,14,31,231.30
40,12,22,160.21
43,41,6,68.97
49,24,22,184.52
6,1,9,63.07
43,37,32,209.77
5,3,7,24.30
40,44,4,55.50
36,11,6,90.84
30,22,24,161.92
26,25,4,52.02
30,35,41,220.73
16,2,13,94.28
3,8,36,184.32
34,45,37,215.70
14,22,27,131.72
27,11,31,190.41
25,1,7,86.45
8,19,23,108.33
10,34,9,28.12
26,45,36,195.47
49,45,41,259.49
49,33,16,150.83
31,20,49,293.14
4,25,20,72.28
21,17,14,102.38
22,6,9,82.54
30,21,27,157.90
43,19,27,204.37
37,42,19,129.36
48,33,24,186.59
44,25,26,187.83
41,4,20,187.85
48,49,30,189.21
26,42,44,226.04
13,8,47,263.83
10,6,49,263.93
42,41,44,265.32
9,40,6,25.28
40,39,48,278.66
34,30,6,49.53
1,11,35,168.18
31,18,18,129.99
12,36,10,34.56
49,24,38,255.00
6,25,29,121.71
10,48,40,165.65
5,25,46,218.92
5,28,49,215.24
35,6,8,108.93
49,27,2,75.56
6,37,21,81.53
28,9,43,277.05
35,16,18,139.26
11,9,3,30.10
3,28,49,221.65
27,46,4,37.91
35,3,1,56.94
15,12,34,191.95
24,14,6,59.06
33,41,35,186.48
16,7,9,60.70
4,36,37,151.63
20,21,7,55.61
9,14,39,201.73
25,21,8,77.07
48,33,14,124.18
38,21,34,224.20
8,39,2,-11.65
32,9,25,187.44
14,20,11,52.91
49,11,36,265.53
14,12,43,216.06
15,1,44,246.04
22,22,14,80.79
19,26,29,148.52
33,18,13,115.70
43,21,4,83.43
8,10,13,63.73
31,23,9,96.73
20,48,9,46.26
46,13,28,218.52
10,37,27,111.14
23,19,6,62.79
46,48,32,199.35
34,29,11,92.29
34,7,18,156.12
15,49,23,93.66
38,13,38,230.54
8,35,36,162.19
48,5,11,157.82
19,49,2,2.31
20,44,26,119.58
46,24,8,124.01
2,25,34,136.52
33,41,29,185.60
21,12,45,250.94
